metric_id	name	days	exact_days	relerr_p50	relerr_p99	relerr_max	integral_ratio
2	daily_closing_price_usd	4473	4473	0	0	0	1
3	daily_opening_price_usd	4473	4473	0	0	0	1
4	daily_high_price_usd	4473	4473	0	0	0	1
5	daily_low_price_usd	4473	4473	0	0	0	1
8	stack_age_consumed	4473	1	0.00006147	0.005985	1.0315	1.000015
9	stack_circulation_1d	4473	10	0	0.000015	0.1733	1.000074
10	stack_circulation_7d	4473	12	0	0.000793	0.0768	1.000065
11	stack_circulation_30d	4473	25	0	0.001221	0.0276	1.000008
12	stack_circulation_60d	4473	26	0	0.000921	0.0211	0.999992
13	stack_circulation_90d	4473	35	0	0.000835	0.0165	0.999983
14	stack_circulation_180d	4473	35	0	0.000937	0.0095	0.999965
15	stack_circulation_365d	4473	35	3.7e-7	0.000854	0.0059	0.999944
16	stack_circulation_2y	4473	35	0.00001335	0.000954	0.001	0.999903
17	stack_circulation_3y	4473	35	0.00003983	0.000886	0.0009	0.999874
18	stack_circulation_5y	4473	35	0.00004038	0.000767	0.0008	0.999845
19	stack_circulation_10y	4473	35	0.00003858	0.000438	0.0004	0.99985
20	stack_circulation_20y	4473	35	0.00003858	0.000418	0.0004	0.999851
21	stack_circulation_delta_1d	4473	23	0	0.001025	0.6334	1
22	stack_circulation_delta_7d	4473	23	0	0.009764	1.3125	1
23	stack_circulation_delta_30d	4473	13	0	0.024136	1.0539	1
24	stack_circulation_delta_60d	4473	13	0	0.033192	0.9453	1
25	stack_circulation_delta_90d	4473	16	0	0.035024	1.309	1
26	stack_circulation_delta_180d	4473	14	0	0.039375	1.329	1
27	stack_circulation_delta_365d	4473	12	0	0.0733	1.9597	1
28	stack_circulation_delta_2y	4473	11	0	0.151356	1.8701	1.000026
29	stack_circulation_delta_3y	4473	11	1e-8	0.150646	1.6779	1.000097
30	stack_circulation_delta_5y	4473	11	0	0.643634	1.98	0.999325
31	stack_circulation_delta_10y	4473	11	0	1.46227	1.9834	0.999564
32	stack_circulation_delta_20y	4473	11	0	1.489695	1.9834	0.999582
