utc	pod	working_set_gib
2026-08-03 11:20	eth-stacks-v12-taskmanager-1-1	3.60
2026-08-03 14:10	eth-stacks-v12-taskmanager-1-1	5.06
2026-08-03 14:20	eth-stacks-v12-taskmanager-1-1	7.68
2026-08-03 14:30	eth-stacks-v12-taskmanager-1-1	8.54
2026-08-03 14:40	eth-stacks-v12-taskmanager-1-1	9.32
2026-08-03 14:50	eth-stacks-v12-taskmanager-1-1	10.06
2026-08-03 15:00	eth-stacks-v12-taskmanager-1-1	10.84
2026-08-03 15:10	eth-stacks-v12-taskmanager-1-1	11.80
2026-08-03 15:20	eth-stacks-v12-taskmanager-1-1	12.53
2026-08-03 15:30	eth-stacks-v12-taskmanager-1-1	13.08
2026-08-03 15:40	eth-stacks-v12-taskmanager-1-1	13.62
2026-08-03 15:50	eth-stacks-v12-taskmanager-1-1	14.05
2026-08-03 16:00	eth-stacks-v12-taskmanager-1-1	14.49
2026-08-03 16:10	eth-stacks-v12-taskmanager-1-1	15.11
2026-08-03 16:20	eth-stacks-v12-taskmanager-1-1	15.55
2026-08-03 16:30	eth-stacks-v12-taskmanager-1-1	16.20
2026-08-03 16:40	eth-stacks-v12-taskmanager-1-1	17.22
2026-08-03 16:50	eth-stacks-v12-taskmanager-1-1	18.21
2026-08-03 17:00	eth-stacks-v12-taskmanager-1-1	19.44
2026-08-03 17:10	eth-stacks-v12-taskmanager-1-1	20.77
2026-08-04 07:20	eth-stacks-v12-taskmanager-1-1	2.74
2026-08-04 07:30	eth-stacks-v12-taskmanager-1-1	6.34
2026-08-04 07:40	eth-stacks-v12-taskmanager-1-1	8.32
2026-08-04 07:50	eth-stacks-v12-taskmanager-1-1	9.42
2026-08-04 08:00	eth-stacks-v12-taskmanager-1-1	10.28
2026-08-04 08:10	eth-stacks-v12-taskmanager-1-1	11.26
2026-08-04 08:20	eth-stacks-v12-taskmanager-1-1	11.96
2026-08-04 08:30	eth-stacks-v12-taskmanager-1-1	12.45
2026-08-04 08:40	eth-stacks-v12-taskmanager-1-1	12.69
2026-08-04 10:20	eth-stacks-v12-taskmanager-1-1	6.05
2026-08-04 10:30	eth-stacks-v12-taskmanager-1-1	7.55
2026-08-04 10:40	eth-stacks-v12-taskmanager-1-1	8.34
2026-08-04 10:50	eth-stacks-v12-taskmanager-1-1	8.90
2026-08-04 11:00	eth-stacks-v12-taskmanager-1-1	9.43
2026-08-04 11:10	eth-stacks-v12-taskmanager-1-1	9.89
2026-08-04 11:20	eth-stacks-v12-taskmanager-1-1	10.08
2026-08-04 11:30	eth-stacks-v12-taskmanager-1-1	10.04
2026-08-04 11:40	eth-stacks-v12-taskmanager-1-1	10.09
2026-08-04 11:50	eth-stacks-v12-taskmanager-1-1	10.19
2026-08-03 11:20	eth-stacks-v12-taskmanager-1-2	3.77
2026-08-03 14:10	eth-stacks-v12-taskmanager-1-2	3.34
2026-08-03 14:20	eth-stacks-v12-taskmanager-1-2	6.44
2026-08-03 14:30	eth-stacks-v12-taskmanager-1-2	7.20
2026-08-03 14:40	eth-stacks-v12-taskmanager-1-2	8.06
2026-08-03 14:50	eth-stacks-v12-taskmanager-1-2	8.77
2026-08-03 15:00	eth-stacks-v12-taskmanager-1-2	9.55
2026-08-03 15:10	eth-stacks-v12-taskmanager-1-2	10.38
2026-08-03 15:20	eth-stacks-v12-taskmanager-1-2	10.98
2026-08-03 15:30	eth-stacks-v12-taskmanager-1-2	11.41
2026-08-03 15:40	eth-stacks-v12-taskmanager-1-2	11.70
2026-08-03 15:50	eth-stacks-v12-taskmanager-1-2	11.94
2026-08-03 16:00	eth-stacks-v12-taskmanager-1-2	12.20
2026-08-03 16:10	eth-stacks-v12-taskmanager-1-2	12.40
2026-08-03 16:20	eth-stacks-v12-taskmanager-1-2	12.68
2026-08-03 16:30	eth-stacks-v12-taskmanager-1-2	13.23
2026-08-03 16:40	eth-stacks-v12-taskmanager-1-2	13.93
2026-08-03 16:50	eth-stacks-v12-taskmanager-1-2	14.67
2026-08-03 17:00	eth-stacks-v12-taskmanager-1-2	15.50
2026-08-03 17:10	eth-stacks-v12-taskmanager-1-2	16.51
2026-08-04 07:20	eth-stacks-v12-taskmanager-1-2	4.04
2026-08-04 07:30	eth-stacks-v12-taskmanager-1-2	6.63
2026-08-04 07:40	eth-stacks-v12-taskmanager-1-2	8.81
2026-08-04 07:50	eth-stacks-v12-taskmanager-1-2	10.03
2026-08-04 08:00	eth-stacks-v12-taskmanager-1-2	11.12
2026-08-04 08:10	eth-stacks-v12-taskmanager-1-2	12.27
2026-08-04 08:20	eth-stacks-v12-taskmanager-1-2	13.00
2026-08-04 08:30	eth-stacks-v12-taskmanager-1-2	13.68
2026-08-04 08:40	eth-stacks-v12-taskmanager-1-2	14.02
2026-08-04 10:20	eth-stacks-v12-taskmanager-1-2	6.40
2026-08-04 10:30	eth-stacks-v12-taskmanager-1-2	8.73
2026-08-04 10:40	eth-stacks-v12-taskmanager-1-2	9.30
2026-08-04 10:50	eth-stacks-v12-taskmanager-1-2	9.66
2026-08-04 11:00	eth-stacks-v12-taskmanager-1-2	9.95
2026-08-04 11:10	eth-stacks-v12-taskmanager-1-2	10.25
2026-08-04 11:20	eth-stacks-v12-taskmanager-1-2	10.14
2026-08-04 11:30	eth-stacks-v12-taskmanager-1-2	10.19
2026-08-04 11:40	eth-stacks-v12-taskmanager-1-2	10.20
2026-08-04 11:50	eth-stacks-v12-taskmanager-1-2	10.25
2026-08-03 11:20	eth-stacks-v12-taskmanager-1-3	3.71
2026-08-03 14:10	eth-stacks-v12-taskmanager-1-3	5.50
2026-08-03 14:20	eth-stacks-v12-taskmanager-1-3	8.11
2026-08-03 14:30	eth-stacks-v12-taskmanager-1-3	9.73
2026-08-03 14:40	eth-stacks-v12-taskmanager-1-3	10.43
2026-08-03 14:50	eth-stacks-v12-taskmanager-1-3	11.36
2026-08-03 15:00	eth-stacks-v12-taskmanager-1-3	11.96
2026-08-03 15:10	eth-stacks-v12-taskmanager-1-3	12.70
2026-08-03 15:20	eth-stacks-v12-taskmanager-1-3	13.22
2026-08-03 15:30	eth-stacks-v12-taskmanager-1-3	13.70
2026-08-03 15:40	eth-stacks-v12-taskmanager-1-3	14.30
2026-08-03 15:50	eth-stacks-v12-taskmanager-1-3	14.66
2026-08-03 16:00	eth-stacks-v12-taskmanager-1-3	15.16
2026-08-03 16:10	eth-stacks-v12-taskmanager-1-3	15.65
2026-08-03 16:20	eth-stacks-v12-taskmanager-1-3	16.15
2026-08-03 16:30	eth-stacks-v12-taskmanager-1-3	16.86
2026-08-03 16:40	eth-stacks-v12-taskmanager-1-3	17.91
2026-08-03 16:50	eth-stacks-v12-taskmanager-1-3	19.03
2026-08-03 17:00	eth-stacks-v12-taskmanager-1-3	20.13
2026-08-03 17:10	eth-stacks-v12-taskmanager-1-3	21.43
2026-08-04 07:20	eth-stacks-v12-taskmanager-1-3	3.90
2026-08-04 07:30	eth-stacks-v12-taskmanager-1-3	6.40
2026-08-04 07:40	eth-stacks-v12-taskmanager-1-3	8.24
2026-08-04 07:50	eth-stacks-v12-taskmanager-1-3	9.59
2026-08-04 08:00	eth-stacks-v12-taskmanager-1-3	10.48
2026-08-04 08:10	eth-stacks-v12-taskmanager-1-3	11.45
2026-08-04 08:20	eth-stacks-v12-taskmanager-1-3	12.26
2026-08-04 08:30	eth-stacks-v12-taskmanager-1-3	12.61
2026-08-04 08:40	eth-stacks-v12-taskmanager-1-3	12.86
2026-08-04 10:20	eth-stacks-v12-taskmanager-1-3	5.89
2026-08-04 10:30	eth-stacks-v12-taskmanager-1-3	6.94
2026-08-04 10:40	eth-stacks-v12-taskmanager-1-3	7.69
2026-08-04 10:50	eth-stacks-v12-taskmanager-1-3	8.61
2026-08-04 11:00	eth-stacks-v12-taskmanager-1-3	9.40
2026-08-04 11:10	eth-stacks-v12-taskmanager-1-3	9.96
2026-08-04 11:20	eth-stacks-v12-taskmanager-1-3	10.09
2026-08-04 11:30	eth-stacks-v12-taskmanager-1-3	10.06
2026-08-04 11:40	eth-stacks-v12-taskmanager-1-3	10.11
2026-08-04 11:50	eth-stacks-v12-taskmanager-1-3	10.20
2026-08-03 10:10	eth-stacks-v12-taskmanager-1-4	17.14
2026-08-03 10:20	eth-stacks-v12-taskmanager-1-4	17.57
2026-08-03 10:30	eth-stacks-v12-taskmanager-1-4	17.03
2026-08-03 10:40	eth-stacks-v12-taskmanager-1-4	17.40
