repo	lang	pushed	pkgjson	lockfiles	pkgmanager	buildtool	has_workflows	notes
san-chain-exporter	TypeScript	2026-08-04	root	package-lock.json		build:"rm -r -f ./built && tsc && ./copy_assets.sh"|ts	1	gitdeps:
san-exporter	JavaScript	2026-04-02	root	package-lock.json			{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
github-exporter	JavaScript	2026-05-28	root	package-lock.json			{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
grafana	TypeScript	2025-12-03	root	yarn.lock		build:"node ./node_modules/webpack/bin/webpack.js --config scripts/"|webpack|ts	9	gitdeps:rst2html,tether-drop
google-spreadsheet-addon	JavaScript	2026-01-19	root	package-lock.json			{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
san-graphs	Python	2025-10-27	root	package-lock.json,yarn.lock		webpack	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
api-landing	JavaScript	2026-05-22	root	yarn.lock		build:"gatsby build"|ts	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:san-webkit,svelte-preprocess-cssmodules
insights-app	Svelte	2025-09-22	root	package-lock.json		build:"npm run webkit && NODE_ENV=production sapper build"|webpack	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:san-webkit,svelte-preprocess-cssmodules
sheets-landing	JavaScript	2026-05-05	root	yarn.lock		build:"gatsby build"	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
email-templates	HTML	2026-01-21	root	yarn.lock		build:"gulp --production"	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
academy	MDX	2026-08-04	root	pnpm-lock.yaml		build:"astro build && pagefind --site public"|vite|ts	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:san-webkit-next
santiment.net	Astro	2026-07-31	root	pnpm-lock.yaml		build:"astro build"|vite|ts	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:san-webkit-next
santiops-options-web	TypeScript	2026-08-04	root	package-lock.json		build:"NODE_OPTIONS=--max-old-space-size=6144 npx vite build"|vite	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:@rainbow-me/rainbowkit
santiops-app	JavaScript	2026-08-03	root	package-lock.json			{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
sanr-layer-two	Solidity	2025-11-28	root	package-lock.json			{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
sanr-landing-page	JavaScript	2026-03-05	root	yarn.lock		build:"gatsby build"	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
san-webkit	Svelte	2026-08-04	root	pnpm-lock.yaml		vite|sveltekit|ts	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:svelte-preprocess-cssmodules
san-studio	TypeScript	2026-05-17	root	package-lock.json		build:"vite build"|vite|ts	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:san-webkit,svelte-preprocess-cssmodules
san-ui-theme	CSS	2025-09-15	root	package-lock.json		build:"node node_modules/.bin/webpack --mode=production"|webpack|ts	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
embed-app	JavaScript	2025-02-12	root	pnpm-lock.yaml		build:"NODE_ENV=production vite build && node ./scripts/build.js"|vite	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:san-studio,san-webkit
san-queries	Svelte	2025-07-22	root	pnpm-lock.yaml		build:"NODE_ENV=production npm run webkit && npm run get-schema && "|vite|sveltekit|ts	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:san-studio,san-webkit,san-webkit-next,svelte-preprocess-cssmodules
san-preview	TypeScript	2025-05-19	root	pnpm-lock.yaml		build:"NODE_ENV=production webpack"|webpack|ts	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:san-studio,san-webkit
sanbase-app	TypeScript	2026-08-04	root	pnpm-lock.yaml		build:"NODE_ENV=production npm run check && npm run webkit && vite "|vite|sveltekit	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:Sanbase,san-studio,san-webkit,san-webkit-next,svelte-preprocess-cssmodules
sanr-chain-landing	Svelte	2025-04-24	root	pnpm-lock.yaml		build:"npm run webkit && vite build"|vite|sveltekit|ts	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:san-webkit,svelte-preprocess-cssmodules
airflow-dsl	TypeScript	2026-07-06	root	package-lock.json		build:"rm -rf ./dist && npx tsc"	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
sanitizer-frontend	JavaScript	2026-07-27	root	yarn.lock		build:"npx vite build"|vite|webpack	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
sanitizer-backend	JavaScript	2026-07-31	root	package-lock.json			{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
san-docs	JavaScript	2025-11-06	root	package-lock.json		build:"docusaurus build"	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
san-charts	TypeScript	2026-05-16	root			build:"npm-run-all tsc rollup bundle-dts"|ts	1	gitdeps:
sanr-points-landing	JavaScript	2025-04-28	root	yarn.lock		webpack	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
sanr-png-from-signal-id	JavaScript	2025-01-13	root	yarn.lock			{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
chat-app	TypeScript	2025-01-24	root	package-lock.json		build:"vite build && esbuild server/index.ts --platform=node --pack"|vite|ts	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
research-landing	Astro	2025-05-16	root	pnpm-lock.yaml		build:"npm run webkit && astro build"|vite	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:san-webkit,san-webkit-next
chat-frontend	TypeScript	2025-01-28	root	package-lock.json		build:"tsc && vite build"|vite|ts	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
chat-backend	TypeScript	2025-01-28	root	package-lock.json		build:"tsc"|ts	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
strategy-marketplace-frontend	TypeScript	2026-05-19	root	yarn.lock		build:"npx vite build"|vite|webpack	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
blockscout-frontend	TypeScript	2025-04-23	root	yarn.lock		build:"next build"|next|ts	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:gradient-avatar
sanr-op-bridge	JavaScript	2025-08-26	root	package-lock.json,yarn.lock		build:"react-scripts build"|CRA	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
santiment-network-landing	JavaScript	2026-06-02	root	package-lock.json		build:"next build"|next	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
strategy-marketplace-backend	JavaScript	2026-07-28	root	package-lock.json			{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
sanr-shared-frontend	TypeScript	2025-05-17	root				{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
l2-security-council-safe-frontend	JavaScript	2025-10-06	root	yarn.lock		build:"npx vite build"|vite|webpack	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
san-agent-chart-formulas-service	TypeScript	2026-06-08	root	pnpm-lock.yaml		build:"vite build && npm run prepack"|vite|sveltekit	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:san-webkit
sanquants-landing-frontend	JavaScript	2026-01-29	root	yarn.lock		build:"npx vite build"|vite|webpack	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
faker	none	2026-01-15	root	package-lock.json			2	gitdeps:
sanr-frontend-autotests	TypeScript	2026-04-15	root	package-lock.json		build:"tsc"|ts	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
sansei-web-prototype	TypeScript	2026-04-15	root	package-lock.json		build:"tsc -b && vite build"|vite|ts	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
sansei-backend	JavaScript	2026-06-17	root	package-lock.json			{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
sanr-cms-backend	JavaScript	2026-07-29	root	package-lock.json			{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
sanr-cms-frontend	TypeScript	2026-07-01	root	yarn.lock		build:"npx vite build"|vite|webpack	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
security-reports	HTML	2026-02-24	root	package-lock.json			{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
support-pages	HTML	2026-04-16	root				{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
santiment-play-landing-frontend	TypeScript	2026-06-01	root	package-lock.json		build:"next build"|next|ts	{"message":"Not Found","documentation_url":"https://docs.github.com/rest/repos/contents#get-repository-content","status":"404"}0	gitdeps:
